지점	지점명	일시	기온(°C)	기온 QC플래그	풍속(m/s)	풍속 QC플래그	풍향(16방위)	풍향 QC플래그	습도(%)	습도 QC플래그	증기압(hPa)	이슬점온도(°C)	현지기압(hPa)	현지기압 QC플래그	해면기압(hPa)	해면기압 QC플래그
143	대구	2023-07-27 00:00	23.9		.8		320		91		26.9	22.3	1009.9		1016.1	
143	대구	2023-07-27 01:00	23.4		1.6		110		93		26.6	22.1	1009.5		1015.7	
143	대구	2023-07-27 02:00	23.3		1.1		70		92		26.3	21.9	1009.2		1015.4	
143	대구	2023-07-27 03:00	23		1.2		320		92		25.8	21.6	1009.2		1015.4	
143	대구	2023-07-27 04:00	22.8		.9		50		92		25.5	21.4	1009.5		1015.7	
143	대구	2023-07-27 05:00	22.9		.5		320		93		26	21.7	1009.6		1015.8	
143	대구	2023-07-27 06:00	22.9		.3		0		94		26.1	21.8	1009.8		1016	
143	대구	2023-07-27 07:00	23.7		1		90		91		26.6	22.1	1009.7		1015.9	
143	대구	2023-07-27 08:00	25.7		.9		50		82		26.9	22.3	1009.8		1016	
143	대구	2023-07-27 09:00	27		1.3		50		78		27.7	22.8	1009.8		1016	
143	대구	2023-07-27 10:00	28.3		2.3		320		73		27.9	22.9	1009.6		1015.7	
143	대구	2023-07-27 11:00	29.6		1.9		270		68		28.1	23	1009.2		1015.3	
143	대구	2023-07-27 12:00	30.6		1.6		320		65		28.4	23.2	1008.6		1014.7	
143	대구	2023-07-27 13:00	32.1		2.8		290		61		29.1	23.6	1007.9		1014	
143	대구	2023-07-27 14:00	32.8		2		290		56		27.7	22.8	1007.5		1013.5	
143	대구	2023-07-27 15:00	32.2		.9		340		59		28.3	23.1	1007.1		1013.2	
143	대구	2023-07-27 16:00	32		.6		70		60		28.4	23.2	1006.8		1012.9	
143	대구	2023-07-27 17:00	32.2		1.1		110		57		27.2	22.5	1006.6		1012.7	
143	대구	2023-07-27 18:00	31.8		2.5		320		60		28.1	23	1006.7		1012.8	
143	대구	2023-07-27 19:00	30.8		1.2		110		65		28.8	23.4	1006.9		1013	
143	대구	2023-07-27 20:00	29.7		1.1		50		72		30	24.1	1007.4		1013.5	
143	대구	2023-07-27 21:00	28.8		.9		340		76		30	24.1	1008.6		1014.7	
143	대구	2023-07-27 22:00	28.1		0		0		78		29.5	23.8	1009		1015.1	
143	대구	2023-07-27 23:00	27.6		.8		360		81		29.8	24	1008.4		1014.5	
